=== Building runtime with case_study_instantiation_time feature ===
=== Building inferlib dependencies ===
=== Building std/text-completion ===
=== Building sdk/examples-inferlib cases ===

============================================================
  text-completion (0 inferlib deps, 1000 runs)
============================================================
  Starting engine... installing deps... warm-up... done.
  Run 63/1000: submitting... store+linker=303.2 us, deps=0.8 us, app=172.2 us, total=476.6 us
  Run 64/1000: submitting... store+linker=346.9 us, deps=0.6 us, app=184.3 us, total=532.4 us
  Run 65/1000: submitting... store+linker=399.8 us, deps=1.2 us, app=188.9 us, total=590.7 us
  Run 66/1000: submitting... store+linker=424.1 us, deps=0.8 us, app=183.9 us, total=609.4 us
  Run 67/1000: submitting... store+linker=317.4 us, deps=0.5 us, app=163.3 us, total=481.6 us
  Run 68/1000: submitting... store+linker=316.3 us, deps=0.6 us, app=170.8 us, total=488.1 us
  Run 69/1000: submitting... store+linker=338.7 us, deps=0.5 us, app=204.6 us, total=544.3 us
  Run 70/1000: submitting... store+linker=196.3 us, deps=0.3 us, app=140.3 us, total=337.1 us
  Run 71/1000: submitting... store+linker=342.0 us, deps=0.5 us, app=201.7 us, total=544.7 us
  Run 72/1000: submitting... store+linker=380.9 us, deps=0.7 us, app=187.6 us, total=569.8 us
  Run 73/1000: submitting... store+linker=314.3 us, deps=0.6 us, app=194.8 us, total=510.2 us
  Run 74/1000: submitting... store+linker=335.9 us, deps=0.7 us, app=246.4 us, total=583.5 us
  Run 75/1000: submitting... store+linker=314.7 us, deps=0.6 us, app=160.9 us, total=476.7 us
  Run 76/1000: submitting... store+linker=394.5 us, deps=0.8 us, app=184.4 us, total=580.2 us
  Run 77/1000: submitting... store+linker=341.0 us, deps=0.7 us, app=195.4 us, total=537.6 us
  Run 78/1000: submitting... store+linker=306.0 us, deps=0.8 us, app=160.9 us, total=468.1 us
  Run 79/1000: submitting... store+linker=298.5 us, deps=0.6 us, app=162.2 us, total=461.7 us
  Run 80/1000: submitting... store+linker=350.0 us, deps=0.8 us, app=196.4 us, total=547.7 us
  Run 81/1000: submitting... store+linker=380.5 us, deps=0.6 us, app=179.3 us, total=560.9 us
  Run 82/1000: submitting... store+linker=406.7 us, deps=0.7 us, app=180.9 us, total=589.0 us
  Run 83/1000: submitting... store+linker=326.0 us, deps=0.5 us, app=177.9 us, total=505.0 us
  Run 84/1000: submitting... store+linker=314.7 us, deps=0.5 us, app=173.7 us, total=489.2 us
  Run 85/1000: submitting... store+linker=370.0 us, deps=0.5 us, app=192.6 us, total=563.7 us
  Run 86/1000: submitting... store+linker=326.6 us, deps=0.4 us, app=159.8 us, total=487.3 us
  Run 87/1000: submitting... store+linker=427.4 us, deps=1.2 us, app=184.7 us, total=614.1 us
  Run 88/1000: submitting... store+linker=352.3 us, deps=0.6 us, app=209.0 us, total=562.4 us
  Run 89/1000: submitting... store+linker=289.7 us, deps=0.5 us, app=163.6 us, total=454.2 us
  Run 90/1000: submitting... store+linker=320.1 us, deps=0.7 us, app=159.9 us, total=481.1 us
  Run 91/1000: submitting... store+linker=376.2 us, deps=0.6 us, app=178.9 us, total=556.2 us
